UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON20,DRUG20,LIQUOR20,WEAPON21,DRUG21,LIQUOR21,WEAPON22,DRUG22,LIQUOR22,FILTER20,FILTER21,FILTER22,Full_Address,Latitude,Longitude
171483003,Northwestern Michigan College,230200,Rogers Observatory,1753 Birmley Rd,Traverse City,MI,49686,1,"Public, 4-year or above",1412.0,1686.0,3098.0,,,,,,,,,,1,1,1,"1753 Birmley Rd, Traverse City, MI 49686",44.70641675,-85.61063078620987
171483004,Northwestern Michigan College,230200,Aero Park Laboratories,2525 Aero Park Dr,Traverse City,MI,49686,1,"Public, 4-year or above",1412.0,1686.0,3098.0,,,,,,,,,,1,1,1,"2525 Aero Park Dr, Traverse City, MI 49686",44.7452521,-85.5718909206918
171483005,Northwestern Michigan College,230200,Parsens Stulen,2600 Aero Park Dr,Traverse City,MI,49686,1,"Public, 4-year or above",1412.0,1686.0,3098.0,,,,,,,,,,1,1,1,"2600 Aero Park Dr, Traverse City, MI 49686",44.74831361450282,-85.57306104268802
171483006,Northwestern Michigan College,230200,Autotech,2519 Aero Park Dr,Traverse City,MI,49686,1,"Public, 4-year or above",1412.0,1686.0,3098.0,,,,,,,,,,1,1,1,"2519 Aero Park Dr, Traverse City, MI 49686",44.74875366546098,-85.57291283050738
171483007,Northwestern Michigan College,230200,Aviation Department School,2550 Aero Park Dr,Traverse City,MI,49686,1,"Public, 4-year or above",1412.0,1686.0,3098.0,,,,,,,,,,1,1,1,"2550 Aero Park Dr, Traverse City, MI 49686",44.74433025,-85.57341405427306
171483008,Northwestern Michigan College,230200,University Center,2200 Dendrinos Dr,Traverse City,MI,49684,1,"Public, 4-year or above",1412.0,1686.0,3098.0,,,,,,,,,,1,1,1,"2200 Dendrinos Dr, Traverse City, MI 49684",44.7413167,-85.6196202
171492001,Northwood University,407200,Northwood University Michigan Campus,4000 Whiting Dr,MIDLAND,MI,48640,2,"Private nonprofit, 4-year or above",1371.0,875.0,2246.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,"4000 Whiting Dr, MIDLAND, MI 48640",43.6311535,-84.27681755477265
171535004,Oakland Community College,230300,Orchard Ridge,27055 Orchard Lake Road,Farmington Hills,MI,48334,4,"Public, 2-year",6072.0,7358.0,13430.0,,,,,,,,,,1,1,1,"27055 Orchard Lake Road, Farmington Hills, MI 48334",42.49326638888889,-83.35815572222222
171599001,Olivet College,230800,Main Campus,320 South Main Street,OLIVET,MI,49076,2,"Private nonprofit, 4-year or above",567.0,352.0,919.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"320 South Main Street, OLIVET, MI 49076",42.4406147,-84.92375164373317
171775001,Port Huron Cosmetology College,894600,Main Campus,5620 DIXIE HWY,WATERFORD,MI,48329,9,"Private for-profit, less-than 2-year",0.0,46.0,46.0,,,,,,,,,,1,1,1,"5620 DIXIE HWY, WATERFORD, MI 48329",42.70000150827577,-83.39991069482203
