UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD20,NEG_M20,RAPE20,FONDL20,INCES20,STATR20,ROBBE20,AGG_A20,BURGLA20,VEHIC20,ARSON20,MURD21,NEG_M21,RAPE21,FONDL21,INCES21,STATR21,ROBBE21,AGG_A21,BURGLA21,VEHIC21,ARSON21,MURD22,NEG_M22,RAPE22,FONDL22,INCES22,STATR22,ROBBE22,AGG_A22,BURGLA22,VEHIC22,ARSON22,FILTER20,FILTER21,FILTER22,Full_Address,Latitude,Longitude
118684003,Mendocino College,1167200,Willits Center,372 E. Commercial St,Willits,CA,95490,4,"Public, 2-year",1305.0,2249.0,3554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"372 E. Commercial St, Willits, CA 95490",39.41262164707181,-123.34878108587644
118684005,Mendocino College,1167200,Coast Center and Fine Wood Working,1211 Del Mar Drive,Fort Bragg,CA,95437,4,"Public, 2-year",1305.0,2249.0,3554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"1211 Del Mar Drive, Fort Bragg, CA 95437",39.4219269,-123.8113107319018
118912002,MiraCosta College,123900,SEC (San Elijo Campus),3333 MANCHESTER AVENUE,CARDIFF,CA,92007,1,"Public, 4-year or above",4502.0,6358.0,10860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"3333 MANCHESTER AVENUE, CARDIFF, CA 92007",33.0189669,-117.2785712
118912003,MiraCosta College,123900,CLC (Community Learning Center),1831 MISSION AVENUE,OCEANSIDE,CA,92058,1,"Public, 4-year or above",4502.0,6358.0,10860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"1831 MISSION AVENUE, OCEANSIDE, CA 92058",33.203210061690555,-117.36634767788796
118912004,MiraCosta College,123900,TCI (Technology Career Institute),2075 Las Palmas Dr,Carlsbad,CA,92011,1,"Public, 4-year or above",4502.0,6358.0,10860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"2075 Las Palmas Dr, Carlsbad, CA 92011",33.11714326513527,-117.27544667003464
118930001,Mission College,2119100,Mission College,3000 Mission College Blvd,Santa Clara,CA,95054,4,"Public, 2-year",2529.0,3218.0,5747.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"3000 Mission College Blvd, Santa Clara, CA 95054",37.39402035,-121.98496465174418
118958001,Modern Beauty Academy,720400,Modern Beauty Academy,699 SOUTH C ST,OXNARD,CA,93030,9,"Private for-profit, less-than 2-year",25.0,38.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"699 SOUTH C ST, OXNARD, CA 93030",34.195174,-119.181227
118976002,Modesto Junior College,124000,MJC/West Campus and YCCD District Offices,2201 Blue Gum Avenue,Modesto,CA,95358,1,"Public, 4-year or above",6240.0,9984.0,16224.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"2201 Blue Gum Avenue, Modesto, CA 95358",37.660548,-121.038182
118994002,Moler Barber College,2185800,Moler Barber College - San Pablo,13128 San Pablo Avenue,San Pablo,CA,94805,9,"Private for-profit, less-than 2-year",232.0,166.0,398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"13128 San Pablo Avenue, San Pablo, CA 94805",37.95148048648649,-122.33266294594594
118994003,Moler Barber College,2185800,Moler Barber College - Hayward,22425 Main Street,Hayward,CA,94541,9,"Private for-profit, less-than 2-year",232.0,166.0,398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"22425 Main Street, Hayward, CA 94541",37.6740133,-122.0848973
