UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON20,DRUG20,LIQUOR20,WEAPON21,DRUG21,LIQUOR21,WEAPON22,DRUG22,LIQUOR22,FILTER20,FILTER21,FILTER22,Full_Address,Latitude,Longitude
222822001,Angelina College,666100,ANGELINA COLLEGE,3500 S. First St.,LUFKIN,TX,75904,4,"Public, 2-year",1433.0,2569.0,4002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"3500 S. First St., LUFKIN, TX 75904",31.339262150000003,-94.72839450465747
222831001,Angelo State University,354100,Main Campus,2601 W. Ave N,San Angelo,TX,76909,1,"Public, 4-year or above",4281.0,6318.0,10599.0,0.0,5.0,28.0,0.0,1.0,17.0,0.0,2.0,22.0,1,1,1,"2601 W. Ave N, San Angelo, TX 76909",31.4389278,-100.45530388582745
222992002,Austin Community College District,1201500,Cypress Creek,1555 Cypress Creek Road,Cedar Park,TX,78613,1,"Public, 4-year or above",14777.0,19750.0,34527.0,,,,,,,,,,1,1,1,"1555 Cypress Creek Road, Cedar Park, TX 78613",30.4795001,-97.8339422
222992003,Austin Community College District,1201500,Northridge Campus,11928 Stonehollow Drive,Austin,TX,78758,1,"Public, 4-year or above",14777.0,19750.0,34527.0,,,,,,,,,,1,1,1,"11928 Stonehollow Drive, Austin, TX 78758",30.4031703,-97.70422338729477
222992006,Austin Community College District,1201500,Rio Grande Campus,1212 Rio Grande Street,Austin,TX,78701,1,"Public, 4-year or above",14777.0,19750.0,34527.0,,,,,,,,,,1,1,1,"1212 Rio Grande Street, Austin, TX 78701",30.27600348979592,-97.74737400000001
222992007,Austin Community College District,1201500,Riverside Campus,1020 Grove Blvd.,Austin,TX,78741,1,"Public, 4-year or above",14777.0,19750.0,34527.0,,,,,,,,,,1,1,1,"1020 Grove Blvd., Austin, TX 78741",30.2367878,-97.7046143
222992013,Austin Community College District,1201500,South Austin Campus,1820 West Stassney Lane,Austin,TX,78745,1,"Public, 4-year or above",14777.0,19750.0,34527.0,,,,,,,,,,1,1,1,"1820 West Stassney Lane, Austin, TX 78745",30.216019,-97.796332
222992014,Austin Community College District,1201500,Round Rock Campus,4400 College Park Drive,Round Rock,TX,78665,1,"Public, 4-year or above",14777.0,19750.0,34527.0,,,,,,,,,,1,1,1,"4400 College Park Drive, Round Rock, TX 78665",30.56227415,-97.65742116448479
222992029,Austin Community College District,1201500,Elgin Campus,1501 West US Hwy 290,Elgin,TX,78621,1,"Public, 4-year or above",14777.0,19750.0,34527.0,,,,,,,,,,1,1,1,"1501 West US Hwy 290, Elgin, TX 78621",30.35402275,-97.40593341286122
222992030,Austin Community College District,1201500,Hays Campus,1200 Kohlers Crossing,Kyle,TX,78640,1,"Public, 4-year or above",14777.0,19750.0,34527.0,,,,,,,,,,1,1,1,"1200 Kohlers Crossing, Kyle, TX 78640",30.0268334,-97.8698563258921
222992031,Austin Community College District,1201500,Highland Campus,6101 Highland Campus Dr.,Austin,TX,78752,1,"Public, 4-year or above",14777.0,19750.0,34527.0,,,,,,,,,,1,1,1,"6101 Highland Campus Dr., Austin, TX 78752",30.325885,-97.71344398072043
222992032,Austin Community College District,1201500,Crockett Early College High School,5601 Manchaca Rd,Austin,TX,78745,1,"Public, 4-year or above",14777.0,19750.0,34527.0,,,,,,,,,,1,1,1,"5601 Manchaca Rd, Austin, TX 78745",30.1681456,-97.8306068
222992033,Austin Community College District,1201500,Northeast Early College High School,7104 Berkman Dr,Austin,TX,78752,1,"Public, 4-year or above",14777.0,19750.0,34527.0,,,,,,,,,,1,1,1,"7104 Berkman Dr, Austin, TX 78752",30.324019,-97.690019
222992036,Austin Community College District,1201500,Health Science Academy,1811 Springdale Rd.,Austin,TX,78721,1,"Public, 4-year or above",14777.0,19750.0,34527.0,,,,,,,,,,1,1,1,"1811 Springdale Rd., Austin, TX 78721",30.285255999999997,-97.68246984813385
222992037,Austin Community College District,1201500,San Gabriel Campus,449 San Gabriel Campus Dr. ,Leander,TX,78641,1,"Public, 4-year or above",14777.0,19750.0,34527.0,,,,,,,,,,1,1,1,"449 San Gabriel Campus Dr. , Leander, TX 78641",30.5885724,-97.8493509017782
223001001,Austin Presbyterian Theological Seminary,354400,Main Campus,100 E 27TH ST,AUSTIN,TX,78705,2,"Private nonprofit, 4-year or above",60.0,112.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"100 E 27TH ST, AUSTIN, TX 78705",30.29182,-97.737618
223232003,Baylor University,354500,Baylor in New York,41-34 Crescent Street,Long Island City,NY,11101,2,"Private nonprofit, 4-year or above",8045.0,12664.0,20709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"41-34 Crescent Street, Long Island City, NY 11101",40.75149255,-73.94008112476665
223232009,Baylor University,354500,George W. Truett Theological Seminary: San Antonio Campus ,319 E. Mulberry Ave. ,San Antonio,TX,78212,2,"Private nonprofit, 4-year or above",8045.0,12664.0,20709.0,,,,,,,,,,0,0,1,"319 E. Mulberry Ave. , San Antonio, TX 78212",29.456915530612246,-98.48929508163265
223320001,Coastal Bend College,354600,Beeville Campus,3800 CHARCO RD,BEEVILLE,TX,78102,4,"Public, 2-year",1381.0,2518.0,3899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"3800 CHARCO RD, BEEVILLE, TX 78102",28.4356864,-97.75633464845382
223320004,Coastal Bend College,354600,Pleasanton Campus,1411 Bensdale,Pleasanton,TX,78064,4,"Public, 2-year",1381.0,2518.0,3899.0,,,,,,,,,,1,1,1,"1411 Bensdale, Pleasanton, TX 78064",28.97687237922998,-98.49723529613715
223427002,Blinn College District,354900,Schulenburg,100 Ranger Drive,Schulenburg,TX,78956,4,"Public, 2-year",8879.0,9030.0,17909.0,,,,,,,,,,1,1,1,"100 Ranger Drive, Schulenburg, TX 78956",29.675845,-96.899297
223816004,Central Texas College,400300,Fredericksburg,"2818 E. U.S. Hwy 290, suite 102",Fredericksburg,TX,78624,4,"Public, 2-year",3577.0,4749.0,8326.0,,,,,,,,,,1,1,1,"2818 E. U.S. Hwy 290, suite 102, Fredericksburg, TX 78624",30.2752011,-98.8719843
