UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON20,DRUG20,LIQUOR20,WEAPON21,DRUG21,LIQUOR21,WEAPON22,DRUG22,LIQUOR22,FILTER20,FILTER21,FILTER22,Full_Address,Latitude,Longitude
177135003,Crowder College,245900,Nevada Campus,600 West Edwards,Nevada,MO,64772,4,"Public, 2-year",1507.0,2527.0,4034.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"600 West Edwards, Nevada, MO 64772",37.859287,-94.361288
177135006,Crowder College,245900,Joplin Advanced Training & Technology Center (ATTC),420 Grand Avenue,Joplin,MO,64801,4,"Public, 2-year",1507.0,2527.0,4034.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"420 Grand Avenue, Joplin, MO 64801",37.08728944897959,-94.50906312244898
177214001,Drury University,246100,Drury University,900 N. Benton Avenue,Springfield,MO,65802,2,"Private nonprofit, 4-year or above",691.0,904.0,1595.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"900 N. Benton Avenue, Springfield, MO 65802",37.2182356,-93.2846472053064
177214005,Drury University,246100,Monett Campus,900 North Benton Avenue,Springfield,MO,65802,2,"Private nonprofit, 4-year or above",691.0,904.0,1595.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"900 North Benton Avenue, Springfield, MO 65802",37.2182356,-93.2846472053064
177214007,Drury University,246100,Rolla Campus,900 North Benton Avenue,Springfield,MO,65802,2,"Private nonprofit, 4-year or above",691.0,904.0,1595.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"900 North Benton Avenue, Springfield, MO 65802",37.2182356,-93.2846472053064
177214008,Drury University,246100,St. Robert Campus,900 North Benton Avenue,Springfield,MO,65802,2,"Private nonprofit, 4-year or above",691.0,904.0,1595.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"900 North Benton Avenue, Springfield, MO 65802",37.2182356,-93.2846472053064
177214012,Drury University,246100,Houston Campus,900 North Benton Avenue,Springfield,MO,65802,2,"Private nonprofit, 4-year or above",691.0,904.0,1595.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"900 North Benton Avenue, Springfield, MO 65802",37.2182356,-93.2846472053064
177250001,East Central College,886200,Main Campus,1964 Prairie Dell Rd.,Union,MO,63084,4,"Public, 2-year",1056.0,1636.0,2692.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1964 Prairie Dell Rd., Union, MO 63084",38.4263224,-90.9772125
177250002,East Central College,886200,East Central College Rolla,500 Forum Dr,Rolla,MO,65401,4,"Public, 2-year",1056.0,1636.0,2692.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"500 Forum Dr, Rolla, MO 65401",37.947063,-91.7484451058275
177250004,East Central College,886200,East Central College Washington,1978 Image Dr.,Washington,MO,63090,4,"Public, 2-year",1056.0,1636.0,2692.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1978 Image Dr., Washington, MO 63090",38.54767475,-91.02090975306356
177250005,East Central College,886200,East Central College Rolla North,2303 North Bishop Avenue,Rolla,MO,65401,4,"Public, 2-year",1056.0,1636.0,2692.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"2303 North Bishop Avenue, Rolla, MO 65401",37.9603382,-91.7666248
177418001,Fontbonne University,246400,Fontbonne University,6800 Wydown Boulevard,St. Louis,MO,63105,2,"Private nonprofit, 4-year or above",383.0,561.0,944.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"6800 Wydown Boulevard, St. Louis, MO 63105",38.643131505050505,-90.31550973737372
177436001,Four Rivers Career Center,2056100,Main Campus,1978 Image Drive,WASHINGTON,MO,63090,7,"Public, less-than 2-year",1.0,25.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1978 Image Drive, WASHINGTON, MO 63090",38.54767475,-91.02090975306356
