UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD20,NEG_M20,RAPE20,FONDL20,INCES20,STATR20,ROBBE20,AGG_A20,BURGLA20,VEHIC20,ARSON20,MURD21,NEG_M21,RAPE21,FONDL21,INCES21,STATR21,ROBBE21,AGG_A21,BURGLA21,VEHIC21,ARSON21,MURD22,NEG_M22,RAPE22,FONDL22,INCES22,STATR22,ROBBE22,AGG_A22,BURGLA22,VEHIC22,ARSON22,FILTER20,FILTER21,FILTER22,Full_Address,Latitude,Longitude
444468001,Career Beauty College,3841300,Lawrenceburg Technical College,113 South Military Avenue,LAWRENCEBURG,TN,38464,9,"Private for-profit, less-than 2-year",1.0,39.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"113 South Military Avenue, LAWRENCEBURG, TN 38464",35.240280906312854,-87.33534533181431
444486001,Paul Mitchell the School-Gastonia,3777300,Main Campus,284 E GARRISON BLVD,GASTONIA,NC,28054,9,"Private for-profit, less-than 2-year",11.0,261.0,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"284 E GARRISON BLVD, GASTONIA, NC 28054",35.25351359013169,-81.17860088133591
444529001,Stellar Career College,3759300,Main Campus,4300 SISK RD,MODESTO,CA,95356,9,"Private for-profit, less-than 2-year",3.0,24.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"4300 SISK RD, MODESTO, CA 95356",37.6937636,-121.0654868
444556001,Auguste Escoffier School of Culinary Arts-Austin,3727600,Auguste Escoffier School of Culinary Arts,6020-B Dillard Circle,AUSTIN,TX,78752,6,"Private for-profit, 2-year",212.0,225.0,437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"6020-B Dillard Circle, AUSTIN, TX 78752",30.3260971,-97.7174475
444565001,Culinary Institute Inc,3723300,Main Campus,7070 Allensby Street,Houston,TX,77022,6,"Private for-profit, 2-year",148.0,195.0,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"7070 Allensby Street, Houston, TX 77022",29.8235415,-95.37863261926248
444583001,Escuela Hotelera de San Juan,3751300,ESCUELA HOTELERA DE SAN JUAN-San Juan,229 CALLE GUAYAMA,SAN JUAN,PR,00917,9,"Private for-profit, less-than 2-year",160.0,215.0,375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"229 CALLE GUAYAMA, SAN JUAN, PR 00917",18.416420622448975,-66.04591504081633
444635001,Orion Institute,3776400,Orion Institute,340 THREE MEADOWS DR,PERRYSBURG,OH,43551,9,"Private for-profit, less-than 2-year",8.0,66.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"340 THREE MEADOWS DR, PERRYSBURG, OH 43551",41.55584429847748,-83.60058533247073
444732001,Leston College,3552300,Leston College,CALLE DR VEVE #52,BAYAMON,PR,00961,9,"Private for-profit, less-than 2-year",12.0,46.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"CALLE DR VEVE #52, BAYAMON, PR 00961",18.39926295,-66.15495257032094
444811001,PITC Institute,3781300,Main Campus,827 Glenside Avenue,Wyncote,PA,19095,6,"Private for-profit, 2-year",20.0,341.0,361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"827 Glenside Avenue, Wyncote, PA 19095",40.0969186834847,-75.14435403143787
444945001,Unitech Training Academy-Lafayette,3789300,Main Campus - Lafayette,3253 Ambassador Caffery Parkway,LAFAYETTE,LA,70506,9,"Private for-profit, less-than 2-year",29.0,258.0,287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"3253 Ambassador Caffery Parkway, LAFAYETTE, LA 70506",30.18263236785686,-92.074867678592
445133001,American InterContinental University-Houston,2113610,American InterContinental University - Houston,9999 Richmond Avenue,Houston,TX,77042,3,"Private for-profit, 4-year or above",63.0,108.0,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"9999 Richmond Avenue, Houston, TX 77042",29.7276516,-95.54812729286364
445212001,Paul Mitchell the School-Orlando,2531803,Paul Mitchell the School Orlando,1285 Oviedo Mall Blvd,Oviedo,FL,32765,9,"Private for-profit, less-than 2-year",34.0,134.0,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"1285 Oviedo Mall Blvd, Oviedo, FL 32765",28.663334,-81.240093
445230001,Pima Medical Institute-Las Vegas,2217109,Las Vegas Campus,3333 East Flamingo Road,Las Vegas,NV,89121,6,"Private for-profit, 2-year",207.0,504.0,711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"3333 East Flamingo Road, Las Vegas, NV 89121",36.1143922,-115.1571359
445267001,Central Methodist University-College of Graduate and Extended Studies,245300,Main Campus,411 Central Methodist Square,Fayette,MO,65248,2,"Private nonprofit, 4-year or above",898.0,2247.0,3145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"411 Central Methodist Square, Fayette, MO 65248",39.150918950000005,-92.68636069314394
445267002,Central Methodist University-College of Graduate and Extended Studies,245300,Central Methodist University at Park Hills,5270 Flat River Rd.,Park Hills,MO,63601,2,"Private nonprofit, 4-year or above",898.0,2247.0,3145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"5270 Flat River Rd., Park Hills, MO 63601",37.838553,-90.482165
445267003,Central Methodist University-College of Graduate and Extended Studies,245300,Central Methodist University at Union,1964 Prairie Dell Rd,Union,MO,63084,2,"Private nonprofit, 4-year or above",898.0,2247.0,3145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"1964 Prairie Dell Rd, Union, MO 63084",38.4263224,-90.9772125
